Year,Month,Gold Price,Oil Price,CPI
1979,January,233.7,,68.5
1979,February,251.3,,69.2
1979,March,240.1,,69.9
1979,April,245.3,,70.6
1979,May,274.6,,71.4
1979,June,277.5,,72.2
1979,July,296.45,,73
1979,August,315.1,,73.7
1979,September,397.25,,74.4
1979,October,382,,75.2
1979,November,415.65,,76
1979,December,512,,76.9
1980,January,653,,78
1980,February,637,,79
1980,March,494.5,,80.1
1980,April,518,,80.9
1980,May,535.5,,81.7
1980,June,653.5,,82.5
1980,July,614.25,,82.6
1980,August,631.25,,83.2
1980,September,666.75,,83.9
1980,October,629,,84.7
1980,November,619.75,,85.6
1980,December,589.75,,86.4
1981,January,506.5,,87.2
1981,February,489,,88
1981,March,513.75,,88.6
1981,April,482.75,,89.1
1981,May,479.25,,89.7
1981,June,426,,90.5
1981,July,406,,91.5
1981,August,425,,92.2
1981,September,428.75,,93.1
1981,October,427,,93.4
1981,November,414.5,,93.8
1981,December,397.5,,94.1
1982,January,387,,94.4
1982,February,362.6,,94.7
1982,March,320,,94.7
1982,April,361.25,,95
1982,May,325.25,,95.9
1982,June,317.5,,97
1982,July,342.9,,97.5
1982,August,411.5,,97.7
1982,September,397,,97.7
1982,October,423.25,,98.1
1982,November,436,,98
1982,December,456.9,,97.7
1983,January,499.5,,97.9
1983,February,408.5,,98
1983,March,414.75,29.29,98.1
1983,April,429.25,30.63,98.8
1983,May,437.5,30.25,99.2
1983,June,416,31.38,99.4
1983,July,422,32,99.8
1983,August,414.25,31.59,100.1
1983,September,405,30.36,100.4
1983,October,382,30.37,100.8
1983,November,405,29.23,101.1
1983,December,382.4,29.6,101.4
1984,January,373.75,29.98,102.1
1984,February,394.25,30.55,102.6
1984,March,388.5,30.85,102.9
1984,April,375.8,30.26,103.3
1984,May,384.25,30.83,103.5
1984,June,373.05,29.75,103.7
1984,July,342.35,27.6,104.1
1984,August,348.25,29.23,104.4
1984,September,343.75,29.66,104.7
1984,October,333.5,28.46,105.1
1984,November,329,27.31,105.3
1984,December,308.3,26.41,105.5
1985,January,306.65,26.41,105.7
1985,February,287.75,26.73,106.3
1985,March,329.25,28.29,106.8
1985,April,321.35,27.63,107
1985,May,314,27.84,107.2
1985,June,317.75,26.87,107.5
1985,July,327.5,27.12,107.7
1985,August,333.25,28.08,107.9
1985,September,325.75,29.08,108.1
1985,October,325.1,30.38,108.5
1985,November,325.3,29.75,109
1985,December,326.8,26.3,109.5
1986,January,350.5,18.83,109.9
1986,February,338.15,13.26,109.7
1986,March,344,10.42,109.1
1986,April,345.75,13.34,108.7
1986,May,343.2,14.3,109
1986,June,346.75,12.78,109.4
1986,July,357.5,11.15,109.5
1986,August,384.7,15.9,109.6
1986,September,423.2,14.77,110
1986,October,401,15.27,110.2
1986,November,389.5,15,110.4
1986,December,388.75,17.94,110.8
1987,January,400.5,18.75,111.4
1987,February,405.85,16.6,111.8
1987,March,421,18.83,112.2
1987,April,453.25,18.73,112.7
1987,May,451,19.38,113
1987,June,447.3,20.29,113.5
1987,July,462.5,21.37,113.8
1987,August,453.4,19.73,114.3
1987,September,459.5,19.59,114.7
1987,October,468.8,19.96,115
1987,November,492.5,18.51,115.4
1987,December,484.1,16.7,115.6
1988,January,458,16.94,116
1988,February,426.15,16.01,116.2
1988,March,456.95,17.08,116.5
1988,April,449,17.99,117.2
1988,May,455.5,17.51,117.5
1988,June,436.55,15.16,118
1988,July,436.8,16.31,118.5
1988,August,427.75,15.18,119
1988,September,396.7,13.37,119.5
1988,October,412.4,13.58,119.9
1988,November,422.6,15.32,120.3
1988,December,410.25,17.24,120.7
1989,January,394,17.03,121.2
1989,February,387,18.15,121.6
1989,March,383.2,20.19,122.2
1989,April,377.55,20.42,123.1
1989,May,361.8,19.9,123.7
1989,June,373,20.27,124.1
1989,July,368.3,18.31,124.5
1989,August,359.8,18.83,124.5
1989,September,366.5,20.13,124.8
1989,October,375.3,19.94,125.4
1989,November,408.15,19.89,125.9
1989,December,398.6,21.82,126.3
1990,January,415.05,22.68,127.5
1990,February,407.7,21.54,128
1990,March,368.5,20.28,128.6
1990,April,367.75,18.54,128.9
1990,May,363.05,17.4,129.1
1990,June,352.2,17.07,129.9
1990,July,372.3,20.69,130.5
1990,August,387.75,27.32,131.6
1990,September,408.4,39.51,132.5
1990,October,379.5,35.23,133.4
1990,November,384.85,28.85,133.7
1990,December,386.2,28.44,134.2
1991,January,366,21.54,134.7
1991,February,362.7,19.16,134.8
1991,March,355.65,19.63,134.8
1991,April,357.75,20.96,135.1
1991,May,360.4,21.13,135.6
1991,June,368.35,20.56,136
1991,July,362.85,21.68,136.2
1991,August,347.4,22.26,136.6
1991,September,354.9,22.23,137
1991,October,357.45,23.37,137.2
1991,November,366.3,21.48,137.8
1991,December,353.15,19.12,138.2
1992,January,354.1,18.9,138.3
1992,February,353.1,18.68,138.6
1992,March,341.7,19.44,139.1
1992,April,336.35,20.85,139.4
1992,May,337.5,22.11,139.7
1992,June,343.4,21.6,140.1
1992,July,357.85,21.87,140.5
1992,August,340,21.48,140.8
1992,September,349,21.71,141.1
1992,October,339.25,20.62,141.7
1992,November,334.2,19.89,142.1
1992,December,332.9,19.5,142.3
1993,January,330.45,20.26,142.8
1993,February,327.6,20.6,143.1
1993,March,337.8,20.44,143.3
1993,April,354.3,20.53,143.8
1993,May,377.45,20.02,144.2
1993,June,378.45,18.85,144.3
1993,July,401.75,17.88,144.5
1993,August,371.55,18.29,144.8
1993,September,355.5,18.79,145
1993,October,369.6,16.92,145.6
1993,November,370.9,15.43,146
1993,December,391.75,14.17,146.3
1994,January,377.9,15.19,146.3
1994,February,381.55,14.48,146.7
1994,March,389.2,14.79,147.1
1994,April,376.45,16.9,147.2
1994,May,387.6,18.31,147.5
1994,June,388.25,19.37,147.9
1994,July,384,20.3,148.4
1994,August,385.75,17.56,149
1994,September,394.85,18.39,149.3
1994,October,383.85,18.19,149.4
1994,November,383.1,18.05,149.8
1994,December,383.25,17.76,150.1
